SEP = ,
73.13,124.50,31.25,32.90,32.07,35.02,120.20,3.19,260.00,654.00
73.21,129.17,30.98,32.63,32.02,35.09,120.20,3.19,260.00,654.00
73.26,133.60,31.46,32.45,31.89,35.27,119.70,3.17,260.00,654.00
73.25,137.69,31.30,32.58,32.10,35.45,119.70,3.17,260.00,654.00
73.35,142.02,31.28,32.74,32.21,35.95,119.70,3.16,260.00,654.00
73.58,146.46,31.17,32.82,31.84,35.93,119.70,3.16,260.00,655.00
73.68,150.77,31.38,32.58,31.99,36.07,119.80,3.16,260.00,655.00
73.83,155.23,31.25,32.79,31.91,36.11,119.80,3.16,259.00,655.00
74.03,159.79,31.36,32.79,32.31,36.36,119.30,3.16,259.00,655.00
74.25,163.87,31.22,32.55,32.29,36.50,119.30,3.16,259.00,655.00
74.34,167.76,31.46,32.66,31.91,36.59,119.20,3.14,259.00,655.00
74.53,171.57,31.28,32.95,32.15,36.52,119.20,3.14,257.00,655.00
74.74,175.62,31.46,32.77,32.02,36.61,119.00,3.16,257.00,656.00
74.82,179.68,31.22,32.90,32.02,36.66,119.00,3.16,257.00,656.00
74.96,183.50,31.12,32.69,32.37,36.89,119.40,3.14,257.00,656.00
74.81,187.49,31.22,32.82,32.07,37.05,119.40,3.14,256.00,656.00
74.83,191.15,31.20,32.77,32.07,37.07,119.90,3.14,256.00,656.00
74.90,194.84,31.06,32.79,32.31,36.86,119.90,3.14,256.00,656.00
75.14,199.03,31.57,32.79,32.45,37.09,120.50,0.87,256.00,656.00
75.08,202.50,31.41,32.63,32.23,36.89,120.50,0.87,67.00,656.00
75.23,206.75,31.52,32.58,32.15,37.07,120.80,0.87,68.00,656.00
75.38,209.64,31.33,32.77,32.05,36.93,120.80,0.87,62.00,656.00
75.44,213.02,31.12,32.85,32.15,37.02,121.20,1.46,213.00,656.00
75.43,214.09,31.38,33.03,32.50,37.16,121.20,1.46,215.00,657.00
75.31,214.44,31.76,32.95,32.47,36.98,120.10,2.68,211.00,657.00
75.37,214.52,31.44,33.30,32.53,37.09,120.10,2.68,211.00,657.00
75.38,213.57,31.46,32.66,32.23,36.73,119.90,2.91,211.00,657.00
75.47,213.29,31.54,32.90,32.58,36.84,119.90,2.91,211.00,657.00
75.40,212.94,31.62,33.03,32.63,37.18,119.60,2.92,211.00,657.00
75.34,213.97,31.49,32.90,32.87,37.23,119.60,2.92,236.00,657.00
75.32,215.70,31.46,32.98,32.47,37.32,119.60,2.82,236.00,657.00
75.49,217.57,31.30,33.01,32.58,37.16,119.60,2.82,230.00,658.00
75.26,218.43,31.46,32.71,32.53,37.20,119.70,2.80,230.00,658.00
74.90,218.43,31.44,33.09,32.61,37.27,119.70,2.80,227.00,658.00
75.18,218.13,31.62,33.03,32.69,37.45,119.70,2.68,227.00,658.00
75.12,217.78,31.70,32.90,32.61,37.68,119.70,2.68,227.00,658.00
